rule,says,support,confidence,lift
desc_len_low & desc_missing & text_len_low,non_human,0.05530323270104195,0.6480901690670006,2.241132208811699
desc_len_low & fav_number_low & text_n_urls_low,non_human,0.060860272508682874,0.6478953356086462,2.240458463768628
fav_number_low & favs_per_day_low & text_n_urls_low,non_human,0.07544750200374031,0.6477064220183486,2.2398051899618245
desc_len_low & favs_per_day_low & sidebar_default,non_human,0.06764627304301363,0.6465781409601635,2.235903530685414
fav_number_low & link_default & location_missing,non_human,0.09051562917445899,0.6465648854961833,2.235857692546391
fav_number_low & link_default & timezone_missing,non_human,0.09062249532460594,0.6463414634146342,2.2350850864384473
fav_number_low & location_missing & sidebar_default,non_human,0.0888592038471814,0.6460761460761462,2.234167604178691
desc_len_low & fav_number_low & timezone_missing,non_human,0.06636387924125034,0.6451948051948052,2.2311198779048
fav_number_low & sidebar_default & timezone_missing,non_human,0.08896606999732834,0.6438515081206496,2.2264746811673977
desc_missing & fav_number_low & favs_per_day_low,non_human,0.0691423991450708,0.6437810945273631,2.226231187006578
location_missing & text_n_urls_low & tweets_per_day_high,non_human,0.0682340368688218,0.6430010070493454,2.2235336006889317
desc_len_low & text_len_low & timezone_missing,non_human,0.053005610472882714,0.6420711974110033,2.2203182667307697
fav_number_low & sidebar_default & text_n_urls_low,non_human,0.07459257280256479,0.6418390804597701,2.2195155932750548
desc_len_low & favs_per_day_low & link_default,non_human,0.0676997061180871,0.6411943319838056,2.2172860168286994
fav_number_low & location_missing,non_human,0.09911835426128773,0.6407599309153713,2.2157838335331066
link_default & tweet_count_high & tweets_per_day_high,non_human,0.0704247929468341,0.6394953905870937,2.2114109820468326
text_len_low & tweets_per_day_high,non_human,0.06529521773978092,0.638453500522466,2.2078080676788527
fav_number_low & link_default & text_n_urls_low,non_human,0.0756612343040342,0.6384129846708747,2.207667961588215
favs_per_day_low & link_default & sidebar_default,non_human,0.10451509484370826,0.6377567655689599,2.2053987190730013
favs_per_day_low & sidebar_default,non_human,0.1065989847715736,0.6367698691350143,2.2019859757689932
desc_len_low & fav_number_low & favs_per_day_low,non_human,0.07144002137323002,0.6360608943862988,2.1995343012637805
